epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,1424.23,1.56092,2.66549,1.72385,1.61754,0,0.15492,0.34211,0.17472,0.07729,0.14844,0.34211,0.17396,0.06654,2.0294,4.90903,2.77798,1.94029,0,0.00177281,0.00177281,0.00177281
68,1446.06,1.76003,3.28167,1.8725,1.74452,0,0.25302,0.47368,0.21759,0.08993,0.25302,0.47368,0.227,0.0869,2.01954,4.86636,2.65188,1.93433,0,0.00176616,0.00176616,0.00176616
69,1467.98,1.53901,2.55124,1.71342,1.61257,0,0.25302,0.47368,0.21759,0.08993,0.25302,0.47368,0.227,0.0869,2.01954,4.86636,2.65188,1.93433,0,0.00175943,0.00175943,0.00175943
70,1490.23,1.64205,2.86076,1.78472,1.62797,0,0.3541,0.42105,0.28136,0.10489,0.37665,0.44737,0.30354,0.10168,2.06652,4.70917,2.72973,1.96933,0,0.00175261,0.00175261,0.00175261
71,1511.65,1.68943,3.11357,1.73707,1.70182,0,0.27762,0.40466,0.26481,0.10702,0.26699,0.39303,0.23872,0.08763,2.08012,4.79088,2.81504,2.00297,0,0.00174571,0.00174571,0.00174571
72,1532.53,1.59738,2.69937,1.79534,1.55422,0,0.28172,0.23684,0.2333,0.09256,0.18075,0.36842,0.16803,0.05466,2.16687,4.92868,2.95561,2.05277,0,0.00173874,0.00173874,0.00173874
73,1553.76,1.5834,2.77303,1.6367,1.55379,0,0.28172,0.23684,0.2333,0.09256,0.18075,0.36842,0.16803,0.05466,2.16687,4.92868,2.95561,2.05277,0,0.00173168,0.00173168,0.00173168
74,1576.05,1.61134,2.7811,1.70275,1.60816,0,0.41973,0.26316,0.25082,0.08149,0.37775,0.23684,0.21019,0.06545,2.15448,4.90225,2.68352,2.07609,0,0.00172454,0.00172454,0.00172454
75,1597.26,1.57545,2.68424,1.69848,1.57027,0,0.41585,0.31579,0.29861,0.11278,0.33314,0.31579,0.27922,0.08691,2.16454,4.77689,2.5414,2.08827,0,0.00171733,0.00171733,0.00171733
76,1617.77,1.57882,2.6135,1.64877,1.54745,0,0.22697,0.26272,0.1941,0.08775,0.30687,0.23684,0.20345,0.0806,2.07717,4.56099,2.77945,1.95308,0,0.00171004,0.00171004,0.00171004
77,1638.05,1.6777,2.65612,1.64187,1.6013,0,0.22697,0.26272,0.1941,0.08775,0.30687,0.23684,0.20345,0.0806,2.07717,4.56099,2.77945,1.95308,0,0.00170267,0.00170267,0.00170267
78,1659.28,1.67946,2.91238,1.76221,1.64072,0,0.24361,0.26316,0.20534,0.10893,0.28045,0.23684,0.20273,0.09824,1.98119,4.72795,2.77139,1.85237,0,0.00169522,0.00169522,0.00169522
79,1679.76,1.56356,2.60262,1.63388,1.58011,0,0.29213,0.34763,0.20755,0.09755,0.24962,0.34211,0.18943,0.07172,1.96884,4.65073,2.47142,1.74346,0,0.0016877,0.0016877,0.0016877
80,1699.52,1.63416,2.9284,1.6875,1.61502,0,0.26986,0.42105,0.21664,0.10293,0.26678,0.36842,0.21732,0.07984,2.06041,4.81017,2.37837,1.87913,0,0.00168011,0.00168011,0.00168011
81,1720.41,1.62596,2.72123,2.00766,1.73395,0,0.26986,0.42105,0.21664,0.10293,0.26678,0.36842,0.21732,0.07984,2.06041,4.81017,2.37837,1.87913,0,0.00167244,0.00167244,0.00167244
82,1741.28,1.58081,2.52855,1.60764,1.56005,0,0.41258,0.34211,0.28157,0.13789,0.47528,0.36842,0.28333,0.11833,1.98234,4.75945,2.23938,1.76658,0,0.0016647,0.0016647,0.0016647
83,1761.35,1.5813,2.60934,1.72939,1.61347,0,0.2607,0.39474,0.24346,0.13225,0.35466,0.26316,0.22489,0.08668,1.87827,4.49216,2.35123,1.67718,0,0.00165689,0.00165689,0.00165689
84,1782.01,1.68307,2.64967,1.78538,1.63005,0,0.33809,0.36842,0.26329,0.13232,0.31372,0.34211,0.22616,0.08148,1.83955,4.50304,2.45086,1.66509,0,0.001649,0.001649,0.001649
85,1802.09,1.54689,2.69604,1.61823,1.63299,0,0.33809,0.36842,0.26329,0.13232,0.31372,0.34211,0.22616,0.08148,1.83955,4.50304,2.45086,1.66509,0,0.00164105,0.00164105,0.00164105
86,1823.79,1.60107,2.84085,1.77079,1.58158,0,0.2678,0.42105,0.3056,0.16057,0.23433,0.36842,0.21477,0.09053,1.81213,4.80322,2.35537,1.6953,0,0.00163303,0.00163303,0.00163303
87,1845.7,1.52116,2.76622,1.77999,1.52117,0,0.26999,0.36988,0.32486,0.16996,0.20557,0.34211,0.20788,0.0727,1.79872,4.61955,2.32225,1.70428,0,0.00162494,0.00162494,0.00162494
88,1866.55,1.62187,2.80994,1.77795,1.57791,0,0.32322,0.34211,0.30567,0.14294,0.28055,0.28947,0.22614,0.06336,1.87634,4.64216,2.54445,1.81919,0,0.00161678,0.00161678,0.00161678
89,1887.82,1.62048,2.66969,1.70714,1.52935,0,0.32322,0.34211,0.30567,0.14294,0.28055,0.28947,0.22614,0.06336,1.87634,4.64216,2.54445,1.81919,0,0.00160855,0.00160855,0.00160855
90,1908.74,1.61909,2.75832,1.63605,1.62022,0,0.36451,0.26316,0.24304,0.09434,0.32496,0.23684,0.18653,0.05223,1.99086,4.8082,2.95052,1.92899,0,0.00160026,0.00160026,0.00160026
91,1929.74,1.6699,2.87047,1.7021,1.64499,0,0.31109,0.36842,0.30577,0.1253,0.31525,0.34211,0.24322,0.0756,1.98306,4.58727,3.06471,1.93318,0,0.00159191,0.00159191,0.00159191
92,1951.12,1.64033,2.684,1.73264,1.56923,0,0.59706,0.2733,0.34564,0.1585,0.46595,0.21053,0.21966,0.07718,1.90176,4.5614,2.92063,1.89932,0,0.00158349,0.00158349,0.00158349
93,1971.58,1.71812,2.60653,1.9647,1.77271,0,0.59706,0.2733,0.34564,0.1585,0.46595,0.21053,0.21966,0.07718,1.90176,4.5614,2.92063,1.89932,0,0.00157501,0.00157501,0.00157501
94,1992.11,1.55215,2.69733,1.62673,1.51408,0,0.35556,0.28947,0.2365,0.10201,0.32086,0.26316,0.18817,0.0789,1.90788,4.72869,3.25479,1.93639,0,0.00156646,0.00156646,0.00156646
95,2013.4,1.50448,2.4897,1.52367,1.48196,0,0.36767,0.26316,0.21187,0.08503,0.29278,0.21053,0.15357,0.06689,2.0089,4.81088,3.23898,2.00841,0,0.00155786,0.00155786,0.00155786
96,2035.44,1.55235,2.64916,1.74091,1.61534,0,0.41803,0.26316,0.2521,0.10695,0.41803,0.26316,0.24456,0.09061,1.95438,4.5127,2.86286,1.91974,0,0.00154919,0.00154919,0.00154919
97,2055.99,1.57568,2.8854,1.58938,1.54286,0,0.41803,0.26316,0.2521,0.10695,0.41803,0.26316,0.24456,0.09061,1.95438,4.5127,2.86286,1.91974,0,0.00154047,0.00154047,0.00154047
98,2077.72,1.42607,2.44642,1.54811,1.50879,0,0.40721,0.30751,0.27872,0.12403,0.40721,0.30751,0.24771,0.08637,1.896,4.34198,2.44977,1.83411,0,0.00153169,0.00153169,0.00153169
99,2097.75,1.6289,2.72487,1.53249,1.60242,0,0.44924,0.34211,0.30101,0.12851,0.43437,0.36842,0.29348,0.09343,1.90282,4.22322,2.30994,1.82063,0,0.00152285,0.00152285,0.00152285
100,2119.19,1.60559,2.67729,1.63752,1.54757,0,0.36892,0.31579,0.25039,0.10474,0.36892,0.31579,0.24978,0.07121,1.92039,4.42818,2.46662,1.82545,0,0.00151395,0.00151395,0.00151395
101,2141.35,1.53627,2.69739,1.61776,1.55319,0,0.36892,0.31579,0.25039,0.10474,0.36892,0.31579,0.24978,0.07121,1.92039,4.42818,2.46662,1.82545,0,0.001505,0.001505,0.001505
102,2161.81,1.37818,2.53809,1.52186,1.48074,0,0.24904,0.36842,0.20137,0.06774,0.21901,0.31579,0.13412,0.04224,2.06121,4.27965,2.6887,1.9684,0,0.00149599,0.00149599,0.00149599
103,2182.65,1.4266,2.66238,1.5307,1.46797,0,0.25147,0.34483,0.22009,0.08911,0.40768,0.23684,0.21297,0.06486,2.035,4.01107,2.6518,2.01588,0,0.00148694,0.00148694,0.00148694
104,2203.24,1.66756,3.21887,1.81159,1.75493,0,0.32991,0.34211,0.23087,0.09127,0.283,0.28947,0.16175,0.05951,1.90799,3.78238,2.43829,1.91327,0,0.00147783,0.00147783,0.00147783
105,2223.76,1.46507,2.54839,1.51737,1.46581,0,0.32991,0.34211,0.23087,0.09127,0.283,0.28947,0.16175,0.05951,1.90799,3.78238,2.43829,1.91327,0,0.00146866,0.00146866,0.00146866
106,2244.83,1.55984,2.73863,1.55506,1.53036,0,0.33181,0.28947,0.22179,0.08229,0.31306,0.26316,0.15883,0.0454,1.9401,3.98226,2.44542,1.89261,0,0.00145945,0.00145945,0.00145945
107,2266.99,1.61031,2.65259,1.62518,1.52286,0,0.23474,0.37137,0.19384,0.07051,0.27054,0.23684,0.14068,0.03749,1.91191,4.22809,2.54771,1.85749,0,0.00145019,0.00145019,0.00145019
108,2288.85,1.42141,2.69092,1.43478,1.46806,0,0.24446,0.31579,0.20784,0.07876,0.31017,0.23684,0.17,0.04639,2.01805,4.33606,2.60239,1.97376,0,0.00144088,0.00144088,0.00144088
109,2309.33,1.4006,2.43538,1.44001,1.39442,0,0.24446,0.31579,0.20784,0.07876,0.31017,0.23684,0.17,0.04639,2.01805,4.33606,2.60239,1.97376,0,0.00143152,0.00143152,0.00143152
110,2329.55,1.56778,2.78939,1.74552,1.59989,0,0.33761,0.29521,0.28489,0.13923,0.42586,0.23684,0.27141,0.08873,2.01815,4.13631,2.53698,1.99322,0,0.00142212,0.00142212,0.00142212
