epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,1336.98,1.16178,2.08504,1.1314,1.18374,0,0.46065,0.31471,0.28598,0.10954,0.43865,0.28947,0.22718,0.08556,2.03788,4.256,2.72671,1.89184,0,0.0007328,0.0007328,0.0007328
66,1356.69,1.04067,2.09338,1.07462,1.18761,0,0.37101,0.42105,0.29296,0.11079,0.32353,0.36842,0.22044,0.08406,1.99344,4.16615,2.65046,1.89112,0,0.000713,0.000713,0.000713
67,1376.55,1.00263,1.91259,1.04761,1.13725,0,0.42558,0.44737,0.28411,0.10254,0.37497,0.39474,0.22673,0.08069,1.95585,4.07819,2.57516,1.86693,0,0.0006932,0.0006932,0.0006932
68,1395.66,0.9631,2.32969,1.04256,1.16572,0,0.4992,0.44598,0.31852,0.12349,0.45075,0.39474,0.25319,0.09246,1.95444,4.04362,2.43464,1.84828,0,0.0006734,0.0006734,0.0006734
69,1415.19,0.8926,1.96813,1.05959,1.06218,0,0.4992,0.44598,0.31852,0.12349,0.45075,0.39474,0.25319,0.09246,1.95444,4.04362,2.43464,1.84828,0,0.0006536,0.0006536,0.0006536
70,1434.33,1.01714,1.97996,1.01227,1.14688,0,0.48036,0.5,0.36328,0.14592,0.41357,0.36842,0.24837,0.1078,1.88896,4.008,2.41352,1.78194,0,0.0006338,0.0006338,0.0006338
71,1453.3,1.07785,2.26873,1.06521,1.19424,0,0.57417,0.34211,0.33301,0.16685,0.52771,0.31579,0.26426,0.11735,1.88368,4.02325,2.30335,1.75468,0,0.000614,0.000614,0.000614
72,1472.05,0.94204,2.05597,1.2686,1.10265,0,0.42228,0.39474,0.31562,0.15967,0.39349,0.36842,0.27635,0.1159,1.89822,4.15999,2.32274,1.71339,0,0.0005942,0.0005942,0.0005942
73,1491.05,0.94012,1.77132,0.92118,1.11013,0,0.42228,0.39474,0.31562,0.15967,0.39349,0.36842,0.27635,0.1159,1.89822,4.15999,2.32274,1.71339,0,0.0005744,0.0005744,0.0005744
74,1509.69,0.9434,1.84093,0.9967,1.12194,0,0.38489,0.42105,0.31731,0.16713,0.38489,0.42105,0.31014,0.12874,1.93952,4.30576,2.26773,1.75251,0,0.0005546,0.0005546,0.0005546
75,1528.67,0.83952,1.79518,0.89893,1.08342,0,0.43964,0.42105,0.37214,0.20775,0.48683,0.44737,0.38138,0.16186,1.90021,4.3591,2.15852,1.77248,0,0.0005348,0.0005348,0.0005348
76,1547.47,0.96074,1.77212,0.94805,1.14811,0,0.4773,0.48074,0.41721,0.21473,0.52304,0.43308,0.37308,0.16668,1.8602,4.20102,2.06139,1.74206,0,0.000515,0.000515,0.000515
77,1566.43,0.88651,1.69842,0.8735,1.07028,0,0.4773,0.48074,0.41721,0.21473,0.52304,0.43308,0.37308,0.16668,1.8602,4.20102,2.06139,1.74206,0,0.0004952,0.0004952,0.0004952
