segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
222,fine,1609,0.00127,0.8679,0.9374,2142,531
3331,fine,1599,0.00126,0.8863,0.9341,12401,8835
1699,fine,1592,0.00126,0.9473,0.9469,4449,4411
882,fine,1589,0.00126,0.9113,0.9104,2241,2293
2155,fine,1571,0.00124,0.9111,0.9582,3120,6008
1443,fine,1569,0.00124,0.971,0.9203,1342,3729
3288,fine,1553,0.00123,0.7667,0.8766,6173,8734
2220,fine,1547,0.00122,0.9352,0.9406,12588,6235
1677,fine,1545,0.00122,0.8804,0.9024,2021,4356
1671,fine,1539,0.00122,0.8308,0.9063,3408,4339
2349,fine,1535,0.00121,0.918,0.9693,3833,6556
890,fine,1526,0.00121,0.9224,0.9401,5457,2297
2059,fine,1520,0.0012,0.8981,0.9266,2543,5627
1865,fine,1516,0.0012,0.8904,0.9173,12286,4874
2569,fine,1504,0.00119,0.8884,0.9591,2509,7180
3315,fine,1503,0.00119,0.9743,0.9533,8132,8794
1779,fine,1502,0.00119,0.9432,0.95,2156,4627
1052,fine,1493,0.00118,0.9472,0.9162,7420,2745
1951,fine,1485,0.00117,0.9597,0.9251,11728,5262
3317,fine,1476,0.00117,0.9064,0.9435,3714,8812
3072,fine,1472,0.00116,0.8097,0.928,1157,8266
124,fine,1467,0.00116,0.9311,0.9272,3022,292
823,fine,1459,0.00115,0.9024,0.9207,5407,2092
667,fine,1458,0.00115,0.9644,0.9496,3256,1699
314,fine,1451,0.00115,0.9296,0.9376,10094,705
1502,fine,1443,0.00114,0.8801,0.9254,8065,3872
2854,fine,1439,0.00114,0.9054,0.9087,8769,7810
863,fine,1438,0.00114,0.9322,0.9475,8970,2220
3312,fine,1436,0.00114,0.9172,0.9506,6816,8787
91,fine,1435,0.00113,0.9503,0.9021,5518,199
2475,fine,1431,0.00113,0.9325,0.9264,9099,6863
885,fine,1431,0.00113,0.8827,0.9151,2394,2282
2931,fine,1429,0.00113,0.9095,0.9388,12508,7983
1905,fine,1424,0.00113,0.9507,0.9492,8256,5072
1511,fine,1418,0.00112,0.9576,0.9424,10631,3899
2789,fine,1416,0.00112,0.8828,0.859,10402,7751
1641,fine,1414,0.00112,0.9095,0.931,395,4249
3308,fine,1413,0.00112,0.9018,0.9299,12192,8766
3150,fine,1413,0.00112,0.9797,0.9141,8420,8425
2264,fine,1413,0.00112,0.9223,0.9534,4800,6395
136,fine,1411,0.00112,0.9367,0.877,5388,336
2658,fine,1406,0.00111,0.922,0.92,160,7388
1367,fine,1405,0.00111,0.9438,0.9214,4229,3539
3119,fine,1402,0.00111,0.9761,0.9358,8423,8368
2364,fine,1400,0.00111,0.9339,0.9629,3784,6577
1966,fine,1392,0.0011,0.8917,0.9562,9810,5319
2131,fine,1391,0.0011,0.8977,0.9659,3155,5914
568,fine,1380,0.00109,0.9313,0.9242,8242,1452
1270,fine,1379,0.00109,0.9174,0.9414,7854,3240
2327,fine,1376,0.00109,0.9476,0.9267,9038,6519
1036,fine,1374,0.00109,0.8663,0.9071,3124,2708
2414,fine,1364,0.00108,0.6765,0.9251,2297,6694
1209,fine,1363,0.00108,0.9612,0.9284,7859,3069
2369,fine,1361,0.00108,0.9393,0.9103,11858,6587
1881,fine,1361,0.00108,0.9461,0.9098,650,4951
1938,fine,1343,0.00106,0.9414,0.9402,2659,5221
2218,fine,1340,0.00106,0.9414,0.9271,12733,6216
2038,fine,1339,0.00106,0.9524,0.9355,11830,5562
1132,fine,1336,0.00106,0.903,0.9554,1419,2907
1756,fine,1331,0.00105,0.8833,0.9325,12678,4586
2535,fine,1328,0.00105,0.9337,0.9068,9040,7085
1579,fine,1324,0.00105,0.8667,0.9345,2545,4067
1157,fine,1321,0.00104,0.9363,0.9496,9727,2968
555,fine,1319,0.00104,0.9011,0.9089,6615,1392
2762,fine,1316,0.00104,0.9652,0.9264,4786,7659
3378,fine,1313,0.00104,0.8038,0.8998,2382,8941
790,fine,1313,0.00104,0.9344,0.9378,9603,1966
1232,fine,1311,0.00104,0.9535,0.9394,7814,3117
2621,fine,1306,0.00103,0.9304,0.9499,7612,7292
2306,fine,1302,0.00103,0.9732,0.9528,11013,6476
1748,fine,1297,0.00103,0.9159,0.9567,5709,4533
2255,fine,1281,0.00101,0.8297,0.9194,5221,6352
353,fine,1267,0.001,0.9411,0.9461,8406,827
2210,fine,1265,0.001,0.9508,0.9231,8578,6192
2528,fine,1264,0.001,0.9406,0.9421,7315,7076
286,fine,1264,0.001,0.9382,0.9268,5585,653
1379,fine,1260,0.001,0.939,0.9544,10625,3561
1491,fine,1259,0.001,0.8658,0.923,751,3839
641,fine,1259,0.001,0.902,0.9205,5132,1626
3230,fine,1255,0.00099,0.9025,0.9193,10711,8586
2859,fine,1255,0.00099,0.6697,0.916,584,7814
1410,fine,1253,0.00099,0.9093,0.9305,2237,3645
38,fine,1249,0.00099,0.9599,0.9505,2534,89
2752,fine,1241,0.00098,0.9421,0.929,4133,7619
3637,fine,1237,0.00098,0.7704,0.909,5721,9459
359,fine,1237,0.00098,0.9143,0.858,2897,843
3413,fine,1236,0.00098,0.9514,0.9353,4135,9022
738,fine,1235,0.00098,0.884,0.9261,3460,1828
884,fine,1231,0.00097,0.9726,0.927,11176,2284
2257,fine,1217,0.00096,0.9405,0.947,9051,6351
2817,fine,1217,0.00096,0.8995,0.9404,8564,7755
2438,fine,1214,0.00096,0.9011,0.9484,5735,6768
1226,fine,1212,0.00096,0.9288,0.9173,1042,3106
3246,fine,1206,0.00095,0.8976,0.8832,10182,8618
258,fine,1206,0.00095,0.8937,0.9253,3124,604
984,fine,1203,0.00095,0.8654,0.935,4133,2545
2000,fine,1202,0.00095,0.9164,0.9439,5498,5412
3264,fine,1202,0.00095,0.7806,0.9363,5298,8672
2011,fine,1200,0.00095,0.9157,0.9283,2338,5440
1556,fine,1199,0.00095,0.9149,0.8851,628,4007
345,fine,1197,0.00095,0.8858,0.9317,2669,793
1768,fine,1194,0.00094,0.9492,0.963,13200,4611
237,fine,1193,0.00094,0.8436,0.8964,1241,595
2707,fine,1193,0.00094,0.9368,0.9604,12888,7479
1135,fine,1188,0.00094,0.9051,0.9184,535,2923
2248,fine,1186,0.00094,0.9258,0.9467,5006,6335
1008,fine,1184,0.00094,0.9302,0.9092,5613,2641
2315,fine,1179,0.00093,0.9583,0.9311,11224,6495
2047,fine,1179,0.00093,0.9111,0.941,9372,5594
3262,fine,1172,0.00093,0.8293,0.9504,327,8670
3552,fine,1172,0.00093,0.9017,0.942,10770,9321
834,fine,1170,0.00092,0.9215,0.9364,1851,2103
1349,fine,1166,0.00092,0.9441,0.9436,10254,3478
3583,fine,1166,0.00092,0.9407,0.909,12968,9354
1581,fine,1166,0.00092,0.9472,0.9547,5000,4079
1777,fine,1165,0.00092,0.8703,0.9323,8911,4619
575,fine,1165,0.00092,0.8274,0.936,1373,1468
